epoch,epoch_train_loss,epoch_loss_bce,epoch_loss_dice,lr
1,1.0170458257198334,0.6091224218116087,0.4079234100439969,0.001
2,0.9583373437909519,0.5875629098976359,0.37077443214023814,0.001
3,0.9280977038776174,0.5687871461405474,0.3593105472186032,0.001
4,0.8516669518807355,0.5252351226175532,0.32643184065818787,0.001
5,0.8652872162706712,0.5445895379080492,0.32069767047377196,0.001
6,0.8555978957344504,0.5343322412056082,0.3212656475165311,0.001
7,0.8018126715632046,0.49859122493687796,0.3032214510090211,0.001
8,0.8076216105152579,0.5110334210536059,0.296588189461652,0.001
9,0.7559385282151839,0.47244690183330984,0.2834916290114908,0.001
10,0.7286020114141352,0.4601184103418799,0.26848359405994415,0.001
11,0.7418662186931161,0.47245795980972405,0.2694082566920449,0.001
12,0.6910796673858867,0.44164591238779183,0.2494337532450171,0.001
13,0.7207032214192783,0.462815048501772,0.25788816722000346,0.001
14,0.6973312532200533,0.44609568574849295,0.25123557273079367,0.001
15,0.6465564019539777,0.4129652600078022,0.23359114194617553,0.0005
16,0.6551891915938434,0.4230255094521186,0.2321636825799942,0.0005
17,0.61397483857239,0.39004477113485336,0.22393006699926712,0.0005
18,0.6068556405165616,0.39117030317292495,0.21568534567075617,0.0005
19,0.6377188694827697,0.41098932220655326,0.22672954464659972,0.0005
20,0.6657198220491409,0.42856962321435704,0.23715019927305334,0.0005
21,0.619345436201376,0.3997253223377116,0.21962011123404784,0.0005
22,0.5739806986906949,0.37040820980773254,0.2035724871298846,0.0005
23,0.579798112897312,0.376192924730918,0.20360518991947174,0.0005
24,0.5874367452719632,0.37953952349284115,0.20789721958777485,0.0005
25,0.5750216815401527,0.37428152254399133,0.20074015680481405,0.0005
26,0.5740755130262936,0.3704692607416826,0.2036062514080721,0.0005
27,0.5659353198374019,0.36577221225289736,0.2001631102141212,0.0005
28,0.5423688213614857,0.352439820766449,0.18992899884195888,0.0005
29,0.5476853873799828,0.35659927042091594,0.19108611871214473,0.0005
30,0.5498567679349113,0.35844699512509737,0.1914097710567362,0.0005
31,0.5403771751067218,0.3449495579389965,0.19542761672945583,0.0005
32,0.5403113882331287,0.354561468695893,0.18574991822242737,0.0005
33,0.5066193885662976,0.32951946162125645,0.17709992913638845,0.0005
34,0.536343960201039,0.3493044696309987,0.18703948837869308,0.0005
35,0.5076722870854771,0.3277746881632244,0.1798975976074443,0.0005
36,0.48006347873631644,0.3082827877472429,0.17178069405695973,0.0005
37,0.5005007684230804,0.32768619980882197,0.1728145734352224,0.0005
38,0.4913216198191923,0.31813592463731766,0.17318569474360523,0.00025
39,0.46124331127194795,0.29701915076550317,0.16422416357433095,0.00025
40,0.4515572597875315,0.29635262927588296,0.15520463007337906,0.00025
41,0.42669934034347534,0.2772769586128347,0.14942237997756286,0.00025
42,0.41751843252602744,0.2702537306091365,0.14726470235516043,0.00025
43,0.4286419069942306,0.2790493526879479,0.14959255649762995,0.00025
44,0.4243560354499256,0.27442683104206533,0.14992920265478246,0.00025
45,0.4180636331439018,0.270145058631897,0.1479185731971965,6.25e-05
46,0.41749101219808354,0.2712489774121958,0.14624203303281,6.25e-05
47,0.38919028946582007,0.25109412104767914,0.1380961703903535,3.125e-05
48,0.3866350580664242,0.24698516069089665,0.1396498960607192,3.125e-05
49,0.40357838308109956,0.26203853812287836,0.14153984364341288,3.125e-05
50,0.39740301142720613,0.25883535821648207,0.13856765277245464,3.125e-05
51,0.3832917730597889,0.24835862263160594,0.1349331499899135,3.125e-05
52,0.38874610995545106,0.25137617482858543,0.1373699351268656,3.125e-05
53,0.38166165439521565,0.24452280647614422,0.137138851425227,3.125e-05
54,0.37571989438113046,0.24383615351775112,0.13188373954857097,3.125e-05
55,0.3841489763820873,0.24680913173977068,0.13733984354664297,1.5625e-05
56,0.36428030799416933,0.2345233283498708,0.1297569774529513,1.5625e-05
57,0.38699593570302515,0.25094786264440594,0.13604807064813726,1.5625e-05
58,0.3867626501356854,0.2510708051131052,0.13569184261209824,1.5625e-05
59,0.37130458258530674,0.24059622427996466,0.1307083587436115,1.5625e-05
60,0.393707060638596,0.25745009477524194,0.13625696652075825,1.5625e-05
61,0.3784036820425707,0.24281042945735595,0.1355932503938675,7.8125e-06
62,0.38007857168422027,0.24458173267981587,0.13549684251056,7.8125e-06
63,0.38951921550666585,0.2504482562927639,0.13907095965217142,7.8125e-06
64,0.39615437870516496,0.25694962503278956,0.13920475717853098,7.8125e-06
65,0.38023201157065,0.24481198498431375,0.1354200279011446,7.8125e-06
66,0.3762747908339781,0.24450496014426737,0.13176982981317184,7.8125e-06
67,0.3709887047024334,0.2399385155123823,0.13105018524562612,3.90625e-06
68,0.36910491918816285,0.2372638903119985,0.1318410301909727,3.90625e-06
